Roll,Pitch,Heading,Temperature,Pressure,Sea Level Pressure,Altitude,Corrected Altitude,Packet RSSI,Packet SNR
-6.50,-3.50,1.00,24.70,509.24,541.11,509.23,488.16,-42,10.50
-6.30,-3.50,1.00,24.70,509.24,541.11,509.23,488.16,-42,10.25
-6.30,-3.50,1.00,24.70,509.24,541.11,509.23,488.16,-42,10.25
-6.30,-3.50,1.00,24.70,509.24,541.11,509.23,488.16,-42,10.00
-6.30,-3.50,1.00,24.70,509.24,541.11,509.23,488.16,-42,10.00
-6.30,-3.50,1.00,24.70,509.24,541.11,509.23,488.16,-42,10.00
-6.30,-3.40,1.00,24.70,509.24,541.11,509.23,488.16,-42,11.00
-6.30,-3.40,1.00,24.70,509.24,541.11,509.23,488.16,-42,10.25
-6.30,-3.30,1.00,24.70,509.24,541.11,509.23,488.16,-42,10.50
-6.30,-3.40,1.00,24.70,509.24,541.11,509.23,488.16,-42,10.50
-6.30,-3.50,1.00,24.70,509.21,541.11,509.73,488.63,-42,10.00
-6.20,-3.40,1.00,24.70,509.21,541.11,509.73,488.63,-42,10.00
-6.20,-3.40,1.00,24.70,509.21,541.11,509.73,488.63,-42,10.50
-6.20,-3.40,1.00,24.70,509.21,541.11,509.73,488.63,-42,10.00
-6.20,-3.40,1.00,24.70,509.21,541.11,509.73,488.63,-43,10.50
-6.20,-3.40,1.00,24.70,509.21,541.11,509.73,488.63,-42,10.50
-6.20,-3.40,1.00,24.70,509.21,541.11,509.73,488.63,-42,10.00
-6.30,-3.30,1.00,24.70,509.21,541.11,509.73,488.63,-43,10.25
-6.40,-3.50,1.00,24.70,509.24,541.11,509.23,488.16,-42,10.50
-6.50,-3.60,1.00,24.70,509.24,541.11,509.23,488.16,-41,10.00
-6.50,-3.60,1.00,24.70,509.24,541.11,509.23,488.16,-42,10.25
-6.50,-3.60,1.00,24.70,509.24,541.11,509.23,488.16,-42,10.25
-6.50,-3.60,1.00,24.80,509.25,541.11,509.07,488.00,-42,10.00
-6.50,-3.50,1.00,24.80,509.25,541.11,509.07,488.00,-42,10.00
-6.50,-3.50,1.00,24.80,509.25,541.11,509.07,488.00,-42,10.00
-6.50,-3.50,1.00,24.80,509.25,541.11,509.07,488.00,-42,9.75
-6.50,-3.50,1.00,24.80,509.25,541.11,509.07,488.00,-42,10.00
-6.50,-3.50,1.00,24.80,509.23,541.11,509.40,488.32,-42,9.75
-6.50,-3.50,1.00,24.80,509.23,541.11,509.40,488.32,-42,9.75
-6.50,-3.50,1.00,24.80,509.23,541.11,509.40,488.32,-43,10.25
-6.50,-3.50,1.00,24.80,509.23,541.11,509.40,488.32,-43,10.25
-6.60,-3.30,1.00,24.80,509.23,541.11,509.40,488.32,-43,9.75
-6.50,-3.20,1.00,24.80,509.23,541.11,509.40,488.32,-44,9.50
-6.30,-3.00,1.00,24.80,509.23,541.11,509.40,488.32,-47,9.75
6.10,-4.40,0.00,24.80,509.23,541.11,509.40,488.32,-47,9.75
6.10,-4.40,0.00,24.80,509.23,541.11,509.40,488.32,-47,9.75
16.10,-6.20,358.00,24.80,509.23,541.11,509.40,488.32,-46,9.75
20.60,-7.00,359.00,24.80,509.23,541.11,509.40,488.32,-45,10.00
22.00,-6.70,359.00,24.80,509.23,541.11,509.40,488.32,-45,9.75
20.30,-6.50,359.00,24.80,509.23,541.11,509.40,488.32,-45,9.75
26.70,-6.80,359.00,24.80,509.23,541.11,509.40,488.32,-45,9.50
