Time,Roll,Pitch,Heading,Batt Temp Left,Batt Temp Right,Batt Temp Down,Batt Temp Box,Batt Temp CubeSat,Temperature,Pressure,Humidity,GpsAltitude,Latitude,Longitude,Speed,NumSatellites,Year,Month,Day,Hour,Minute,Second,Camera Info,Intensity,SNR
1,0.62,-91.56,0.0,30.37,29.62,29.62,28.12,27.12,28.0,1015.3,50.8,0.0,0.0,0.0,0.0,0,2023,9,6,23,12,37,0,0.0,-48.0,10.75
1,0.62,-91.56,0.0,30.37,29.62,29.62,28.12,27.12,28.0,1015.3,50.8,0.0,0.0,0.0,0.0,0,2023,9,6,23,12,37,0,0.0,-48.0,10.75
2,0.62,-91.56,0.0,30.37,29.62,29.5,28.12,27.12,28.03,1015.3,50.69,0.0,0.0,0.0,0.0,0,2023,9,6,23,12,41,0,0.0,-43.0,8.5
1,0.62,-91.56,0.0,30.37,29.62,29.62,28.12,27.12,28.0,1015.3,50.8,0.0,0.0,0.0,0.0,0,2023,9,6,23,12,37,0,0.0,-48.0,10.75
2,0.62,-91.56,0.0,30.37,29.62,29.5,28.12,27.12,28.03,1015.3,50.69,0.0,0.0,0.0,0.0,0,2023,9,6,23,12,41,0,0.0,-43.0,8.5
3,11.06,-116.5,228.81,30.25,29.62,29.5,28.12,27.12,28.05,1015.23,50.62,0.0,0.0,0.0,0.0,0,2023,9,6,23,12,45,0,0.0,-53.0,9.0
1,0.62,-91.56,0.0,30.37,29.62,29.62,28.12,27.12,28.0,1015.3,50.8,0.0,0.0,0.0,0.0,0,2023,9,6,23,12,37,0,0.0,-48.0,10.75
2,0.62,-91.56,0.0,30.37,29.62,29.5,28.12,27.12,28.03,1015.3,50.69,0.0,0.0,0.0,0.0,0,2023,9,6,23,12,41,0,0.0,-43.0,8.5
3,11.06,-116.5,228.81,30.25,29.62,29.5,28.12,27.12,28.05,1015.23,50.62,0.0,0.0,0.0,0.0,0,2023,9,6,23,12,45,0,0.0,-53.0,9.0
4,2.19,-90.31,276.12,30.12,29.5,29.37,28.12,27.12,28.06,1015.3,50.53,0.0,0.0,0.0,0.0,0,2023,9,6,23,12,49,0,0.0,-60.0,8.25
1,0.62,-91.56,0.0,30.37,29.62,29.62,28.12,27.12,28.0,1015.3,50.8,0.0,0.0,0.0,0.0,0,2023,9,6,23,12,37,0,0.0,-48.0,10.75
2,0.62,-91.56,0.0,30.37,29.62,29.5,28.12,27.12,28.03,1015.3,50.69,0.0,0.0,0.0,0.0,0,2023,9,6,23,12,41,0,0.0,-43.0,8.5
3,11.06,-116.5,228.81,30.25,29.62,29.5,28.12,27.12,28.05,1015.23,50.62,0.0,0.0,0.0,0.0,0,2023,9,6,23,12,45,0,0.0,-53.0,9.0
4,2.19,-90.31,276.12,30.12,29.5,29.37,28.12,27.12,28.06,1015.3,50.53,0.0,0.0,0.0,0.0,0,2023,9,6,23,12,49,0,0.0,-60.0,8.25
5,2.19,-90.31,276.12,30.12,29.5,29.37,28.12,27.12,28.06,1015.3,50.53,0.0,0.0,0.0,0.0,0,2023,9,6,23,12,49,0,0.0,-60.0,8.25
1,0.62,-91.56,0.0,30.37,29.62,29.62,28.12,27.12,28.0,1015.3,50.8,0.0,0.0,0.0,0.0,0,2023,9,6,23,12,37,0,0.0,-48.0,10.75
2,0.62,-91.56,0.0,30.37,29.62,29.5,28.12,27.12,28.03,1015.3,50.69,0.0,0.0,0.0,0.0,0,2023,9,6,23,12,41,0,0.0,-43.0,8.5
3,11.06,-116.5,228.81,30.25,29.62,29.5,28.12,27.12,28.05,1015.23,50.62,0.0,0.0,0.0,0.0,0,2023,9,6,23,12,45,0,0.0,-53.0,9.0
4,2.19,-90.31,276.12,30.12,29.5,29.37,28.12,27.12,28.06,1015.3,50.53,0.0,0.0,0.0,0.0,0,2023,9,6,23,12,49,0,0.0,-60.0,8.25
5,2.19,-90.31,276.12,30.12,29.5,29.37,28.12,27.12,28.06,1015.3,50.53,0.0,0.0,0.0,0.0,0,2023,9,6,23,12,49,0,0.0,-60.0,8.25
6,-2.44,-89.69,299.62,30.12,29.5,29.37,28.12,27.12,28.07,1015.25,50.44,0.0,0.0,0.0,0.0,0,2023,9,6,23,12,53,0,0.0,-55.0,9.25
1,0.62,-91.56,0.0,30.37,29.62,29.62,28.12,27.12,28.0,1015.3,50.8,0.0,0.0,0.0,0.0,0,2023,9,6,23,12,37,0,0.0,-48.0,10.75
2,0.62,-91.56,0.0,30.37,29.62,29.5,28.12,27.12,28.03,1015.3,50.69,0.0,0.0,0.0,0.0,0,2023,9,6,23,12,41,0,0.0,-43.0,8.5
3,11.06,-116.5,228.81,30.25,29.62,29.5,28.12,27.12,28.05,1015.23,50.62,0.0,0.0,0.0,0.0,0,2023,9,6,23,12,45,0,0.0,-53.0,9.0
4,2.19,-90.31,276.12,30.12,29.5,29.37,28.12,27.12,28.06,1015.3,50.53,0.0,0.0,0.0,0.0,0,2023,9,6,23,12,49,0,0.0,-60.0,8.25
5,2.19,-90.31,276.12,30.12,29.5,29.37,28.12,27.12,28.06,1015.3,50.53,0.0,0.0,0.0,0.0,0,2023,9,6,23,12,49,0,0.0,-60.0,8.25
6,-2.44,-89.69,299.62,30.12,29.5,29.37,28.12,27.12,28.07,1015.25,50.44,0.0,0.0,0.0,0.0,0,2023,9,6,23,12,53,0,0.0,-55.0,9.25
7,-2.44,-89.69,299.62,30.12,29.5,29.37,28.12,27.12,28.07,1015.25,50.44,0.0,0.0,0.0,0.0,0,2023,9,6,23,12,53,0,0.0,-55.0,9.25
1,0.62,-91.56,0.0,30.37,29.62,29.62,28.12,27.12,28.0,1015.3,50.8,0.0,0.0,0.0,0.0,0,2023,9,6,23,12,37,0,0.0,-48.0,10.75
2,0.62,-91.56,0.0,30.37,29.62,29.5,28.12,27.12,28.03,1015.3,50.69,0.0,0.0,0.0,0.0,0,2023,9,6,23,12,41,0,0.0,-43.0,8.5
3,11.06,-116.5,228.81,30.25,29.62,29.5,28.12,27.12,28.05,1015.23,50.62,0.0,0.0,0.0,0.0,0,2023,9,6,23,12,45,0,0.0,-53.0,9.0
4,2.19,-90.31,276.12,30.12,29.5,29.37,28.12,27.12,28.06,1015.3,50.53,0.0,0.0,0.0,0.0,0,2023,9,6,23,12,49,0,0.0,-60.0,8.25
5,2.19,-90.31,276.12,30.12,29.5,29.37,28.12,27.12,28.06,1015.3,50.53,0.0,0.0,0.0,0.0,0,2023,9,6,23,12,49,0,0.0,-60.0,8.25
