Time,Roll,Pitch,Heading,Batt Temp Left,Batt Temp Right,Batt Temp Down,Batt Temp Box,Batt Temp CubeSat,Temperature,Pressure,Humidity,GpsAltitude,Latitude,Longitude,Speed,NumSatellites,Year,Month,Day,Hour,Minute,Second,Camera Info,Camera Flag,Intensity,SNR
1,3.25,-2.31,2.44,26.37,26.37,26.25,26.5,27.25,29.17,1017.19,48.79,0.0,0.0,0.0,0.0,0,2023,9,12,9,9,29,49,1.0,-49.0,9.5
2,3.25,-2.31,2.44,26.37,26.37,26.25,26.5,27.25,29.17,1017.19,48.79,0.0,0.0,0.0,0.0,0,2023,9,12,9,9,29,49,1.0,-49.0,9.5
3,3.25,-2.31,2.44,26.37,26.37,26.25,26.5,27.25,29.17,1017.19,48.75,0.0,0.0,0.0,0.0,0,2023,9,12,9,9,33,49,1.0,-51.0,8.0
4,3.25,-2.31,2.44,26.37,26.37,26.25,26.5,27.25,29.17,1017.19,48.75,0.0,0.0,0.0,0.0,0,2023,9,12,9,9,33,49,1.0,-51.0,8.0
5,3.25,-2.31,2.44,26.37,26.25,26.25,26.5,27.25,29.18,1017.17,48.75,0.0,0.0,0.0,0.0,0,2023,9,12,9,9,38,49,1.0,-51.0,8.0
6,3.25,-2.31,2.44,26.37,26.37,26.25,26.5,27.25,29.17,1017.2,48.75,0.0,0.0,0.0,0.0,0,2023,9,12,9,9,42,49,1.0,-51.0,8.25
7,3.25,-2.31,2.44,26.37,26.25,26.25,26.5,27.25,29.18,1017.18,48.77,0.0,0.0,0.0,0.0,0,2023,9,12,9,9,46,49,1.0,-50.0,8.5
8,3.25,-2.31,2.44,26.37,26.25,26.25,26.5,27.25,29.18,1017.22,48.79,0.0,0.0,0.0,0.0,0,2023,9,12,9,9,50,49,1.0,-51.0,8.5
9,3.25,-2.31,2.44,26.37,26.25,26.25,26.5,27.25,29.18,1017.22,48.79,0.0,0.0,0.0,0.0,0,2023,9,12,9,9,50,49,1.0,-51.0,8.5
10,3.25,-2.31,2.44,26.37,26.37,26.25,26.5,27.25,29.17,1017.21,48.8,0.0,0.0,0.0,0.0,0,2023,9,12,9,9,54,49,1.0,-51.0,9.25
11,3.25,-2.31,2.44,26.37,26.37,26.25,26.5,27.25,29.17,1017.21,48.8,0.0,0.0,0.0,0.0,0,2023,9,12,9,9,54,49,1.0,-51.0,9.25
12,3.25,-2.31,2.44,26.37,26.25,26.25,26.5,27.25,29.18,1017.2,48.81,0.0,0.0,0.0,0.0,0,2023,9,12,9,9,58,49,1.0,-51.0,8.75
13,3.25,-2.31,2.44,26.37,26.37,26.25,26.5,27.25,29.18,1017.2,48.81,0.0,0.0,0.0,0.0,0,2023,9,12,9,10,3,49,1.0,-51.0,8.5
14,3.25,-2.31,2.44,26.37,26.37,26.25,26.5,27.25,29.18,1017.2,48.81,0.0,0.0,0.0,0.0,0,2023,9,12,9,10,3,49,1.0,-51.0,8.5
15,3.25,-2.31,2.44,26.37,26.37,26.25,26.5,27.25,29.17,1017.2,48.81,0.0,0.0,0.0,0.0,0,2023,9,12,9,10,7,49,1.0,-46.0,8.5
16,-4.12,-73.25,15.31,26.37,26.37,26.25,26.5,27.37,29.17,1017.21,48.81,0.0,0.0,0.0,0.0,0,2023,9,12,9,10,11,49,1.0,-45.0,7.5
17,-2.19,-91.56,26.44,26.37,26.37,26.25,26.5,27.37,29.17,1017.23,48.81,0.0,0.0,0.0,0.0,0,2023,9,12,9,10,15,49,1.0,-47.0,7.5
18,-2.37,-91.19,25.31,26.37,26.37,26.25,26.5,27.37,29.17,1017.2,48.8,0.0,0.0,0.0,0.0,0,2023,9,12,9,10,19,49,1.0,-47.0,6.5
19,-1.56,-91.37,24.62,26.37,26.37,26.25,26.5,27.37,29.18,1017.21,48.79,0.0,0.0,0.0,0.0,0,2023,9,12,9,10,23,49,1.0,-46.0,7.25
20,-1.56,-91.37,24.62,26.37,26.37,26.25,26.5,27.37,29.18,1017.21,48.79,0.0,0.0,0.0,0.0,0,2023,9,12,9,10,23,49,1.0,-46.0,7.25
21,-1.56,-91.37,24.62,26.37,26.37,26.25,26.5,27.37,29.18,1017.22,48.79,0.0,0.0,0.0,0.0,0,2023,9,12,9,10,28,49,1.0,-46.0,7.75
